name,level,city,county,state,country,lat,long,population,url,aggregate,tz,2020-04-10,2020-04-11
Germany,country,,,,Germany,51.1555,10.452,83149300,https://github.com/CSSEGISandData/COVID-19,country,Europe/Berlin,122171,122171
Ghana,country,,,,Ghana,7.960000000000001,-1.0295,26908262,https://github.com/CSSEGISandData/COVID-19,country,Africa/Accra,378,378
Greece,country,,,,Greece,38.2755,24.503,10760421,https://github.com/CSSEGISandData/COVID-19,country,Europe/Athens,2011,2011
Guatemala,country,,,,Guatemala,15.781500000000001,-90.22800000000001,17263239,https://github.com/CSSEGISandData/COVID-19,country,America/Guatemala,126,126
Guinea,country,,,,Guinea,9.938,-11.5015,12717176,https://github.com/CSSEGISandData/COVID-19,country,Africa/Freetown,212,212
Guyana,country,,,,Guyana,4.851,-58.939,777859,https://github.com/CSSEGISandData/COVID-19,country,America/Guyana,37,37
Haiti,country,,,,Haiti,19.0565,-73.32849999999999,10981229,https://github.com/CSSEGISandData/COVID-19,country,America/Port-au-Prince,31,31
Vatican City,country,,,,Vatican City,41.902,12.446,1000,https://github.com/CSSEGISandData/COVID-19,country,Europe/Vatican,8,8
Honduras,country,,,,Honduras,15.199,-85.883,9265067,https://github.com/CSSEGISandData/COVID-19,country,America/Tegucigalpa,382,382
Hungary,country,,,,Hungary,47.161,19.506,9772756,https://github.com/CSSEGISandData/COVID-19,country,Europe/Budapest,1190,1190
Iceland,country,,,,Iceland,65.223,-18.905,364260,https://github.com/CSSEGISandData/COVID-19,country,Atlantic/Reykjavik,1675,1675
Iran,country,,,,Iran,32.421,53.685,79966230,https://github.com/CSSEGISandData/COVID-19,country,Asia/Tehran,68192,68192
Iraq,country,,,,Iraq,33.22,43.704499999999996,38274618,https://github.com/CSSEGISandData/COVID-19,country,Asia/Baghdad,1279,1279
Ireland,country,,,,Ireland,53.4095,-8.343,4813608,https://github.com/CSSEGISandData/COVID-19,country,Europe/Dublin,8089,8089
